Табельный номер,Фамилия,Пол,Год рождения,Год начала работы в компании,Подразделение,Должность,Оклад,Кол-во выполненных проектов
1,Терентьева,Женский,1982,2012,1,Программист,39200,92
2,Миридонов,Мужской,1984,2020,4,Сотрудник техподдержки,22400,14
3,Капибарова,Женский,1979,2002,3,Начальник отдела,39000,60
4,Хорькова,Женский,1989,2016,1,Сотрудник техподдержки,35300,73
5,Иванова,Женский,1982,2018,5,Администратор,22900,9
6,Терентьев,Мужской,1973,2007,5,Начальник отдела,40600,76
7,Альбертов,Мужской,1978,2004,5,Сотрудник техподдержки,38100,51
8,Миридонов,Мужской,1985,2019,5,Начальник отдела,26100,21
9,Миридонов,Мужской,1970,2011,2,Технический специалист,38400,84
10,Капибарова,Женский,1974,1992,5,Программист,33200,32
11,Миридонов,Мужской,1987,2009,2,Сотрудник техподдержки,41000,80
12,Древесюк,Мужской,1986,2021,3,Начальник отдела,25700,17
13,Капибарова,Женский,1977,2009,4,Технический специалист,36900,39
14,Иванова,Женский,1988,2021,2,Сотрудник техподдержки,24900,9
15,Миридонов,Мужской,1970,2022,3,Начальник отдела,23300,3
16,Миридонов,Мужской,1990,2020,5,Программист,25400,24
17,Иванова,Женский,1971,2004,1,Технический специалист,39500,65
18,Доронькин,Мужской,1978,2013,3,Сотрудник техподдержки,40500,95
19,Евсеев,Мужской,1974,2010,5,Технический специалист,41000,80
20,Боброва,Женский,1981,2015,2,Технический специалист,41000,66
21,Андреева,Женский,1985,2021,1,Технический специалист,21900,19
22,Терентьева,Женский,1986,2013,3,Технический специалист,40600,76
23,Альбертов,Мужской,1986,2016,3,Программист,35900,99
24,Дементьев,Мужской,1972,2008,4,Сотрудник техподдержки,37200,72
25,Древесюк,Мужской,1986,2011,1,Администратор,37300,33
26,Доронькин,Мужской,1983,2020,3,Сотрудник техподдержки,24200,12
27,Капибарова,Женский,1988,2019,3,Технический специалист,23900,19
28,Боброва,Женский,1981,2012,3,Сотрудник техподдержки,38600,86
29,Древесюк,Мужской,1976,2017,4,Программист,37600,86
30,Боброва,Женский,1990,2012,2,Администратор,40900,69
31,Древесюк,Мужской,1971,2002,5,Администратор,41100,91
32,Беброва,Женский,1984,2018,5,Администратор,21700,17
33,Андреева,Женский,1986,2009,2,Сотрудник техподдержки,40000,80
34,Беброва,Женский,1985,2015,3,Начальник отдела,40000,30
35,Доронькин,Мужской,1986,2019,4,Технический специалист,24800,28
36,Альбертов,Мужской,1989,2017,5,Технический специалист,29800,28
37,Хорькова,Женский,1983,2022,4,Начальник отдела,23500,25
38,Миридонов,Мужской,1980,2010,4,Администратор,40800,78
39,Евсеев,Мужской,1976,2004,2,Сотрудник техподдержки,38700,87
40,Доронькин,Мужской,1972,2022,1,Администратор,24900,19
41,Боброва,Женский,1971,1999,3,Технический специалист,37100,41
42,Терентьева,Женский,1979,2013,2,Сотрудник техподдержки,34000,40
43,Боброва,Женский,1973,2015,2,Программист,34000,84
44,Дементьев,Мужской,1983,2008,5,Администратор,37300,33
45,Иванова,Женский,1986,2019,5,Сотрудник техподдержки,23400,14
46,Древесюк,Мужской,1972,2013,5,Начальник отдела,37100,41
47,Древесюк,Мужской,1980,2022,2,Начальник отдела,22400,24
48,Альбертов,Мужской,1987,2019,5,Администратор,24800,18
49,Миридонова,Женский,1990,2020,1,Технический специалист,24000,30
50,Амогусов,Мужской,1990,2019,3,Начальник отдела,22800,18
51,Иванова,Женский,1989,2019,5,Сотрудник техподдержки,25700,17
52,Амогусов,Мужской,1981,2020,3,Начальник отдела,24000,10
53,Доронькин,Мужской,1982,2020,5,Администратор,22800,18
54,Дементьев,Мужской,1986,2010,1,Начальник отдела,38600,76
55,Альбертов,Мужской,1990,2012,2,Администратор,41200,82
56,Боброва,Женский,1984,2019,1,Сотрудник техподдержки,21500,15
57,Евсеев,Мужской,1973,1995,4,Администратор,44000,100
58,Терентьев,Мужской,1988,2011,4,Сотрудник техподдержки,36400,54
59,Альбертов,Мужской,1990,2022,5,Администратор,26100,21
60,Амогусов,Мужской,1980,2014,5,Начальник отдела,40900,89
61,Амогусов,Мужской,1976,2010,3,Технический специалист,38100,71
62,Боброва,Женский,1977,2009,1,Программист,34700,37
63,Миридонов,Мужской,1978,2014,1,Сотрудник техподдержки,34300,33
